bfsCode;Gemeindename;Kanton_Code;Kanton;Bezirk_Code;Bezirksname;Grossregion_Code;Grossregion_Text;Agglo_2012_Code;Agglo_2012_Text;Agglogrkl_2012_Code;Agglogrkl_2012_Text;raumStadt_2012_Code;raumStadt_2012_Text;Stadt_2012_Code;Stadt_2012_Text;Stadt_Land_2012_Code;Stadt_Land_2012_Text;Gdetypen_9_2012_Code;Gdetypen_9_2012_Text;Gdetypen_25_2012_Code;Gdetypen_25_2012_Text;Arbmarktgrossreg_2018_Code;Arbmarktgrossreg_2018_Text;Arbmarktreg_2018_Code;Arbmarktreg_2018_Text;Sprachgebiet_2016_Code;Sprachgebiet_2016_Text;Berggebiet_2019_Code;Berggebiet_2019_Text;DEGURBA_2011_Code;DEGURBA_2011_Text;GreaterCity_2011_Code;GreaterCity_2011_Text;Funktional_Stadt_2014_Code;Funktional_Stadt_2014_Text;MS_Region_2000_Code;MS_Region_2000_Text;Arbmarktreg_2000_Code;Arbmarktreg_2000_Text;Typ_MS_Reg_Code;Typ_MS_Reg_Text;Europ_Berggebiet_Code;Europ_Berggebiet_Text
1;Aeugst am Albis;1;ZH;101;Affoltern;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;12;Region Zürich;12031;Dietikon–Schlieren;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
2;Affoltern am Albis;1;ZH;101;Affoltern;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;3;Agglomerationskerngemeinde (Nebenkern);1;ja (Stadt);1;Städtisch;11;Städtische Gemeinde einer grossen Agglomeration;112;Städtische Arbeitsplatzgemeinde einer grossen Agglomeration;12;Region Zürich;12031;Dietikon–Schlieren;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
3;Bonstetten;1;ZH;101;Affoltern;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;227;Periurbane Dienstleistungsgemeinde mittlerer Dichte;12;Region Zürich;12034;Horgen–Wädenswil;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
4;Hausen am Albis;1;ZH;101;Affoltern;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;227;Periurbane Dienstleistungsgemeinde mittlerer Dichte;11;Zentralschweiz;11060;Zug;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
5;Hedingen;1;ZH;101;Affoltern;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;3;Agglomerationskerngemeinde (Nebenkern);0;nein;1;Städtisch;11;Städtische Gemeinde einer grossen Agglomeration;113;Städtische Wohngemeinde einer grossen Agglomeration;12;Region Zürich;12031;Dietikon–Schlieren;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
6;Kappel am Albis;1;ZH;101;Affoltern;4;Zürich;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;11;Zentralschweiz;11060;Zug;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;1711960;Zug: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
7;Knonau;1;ZH;101;Affoltern;4;Zürich;1711;Zug;3;100'000 - 249'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;227;Periurbane Dienstleistungsgemeinde mittlerer Dichte;11;Zentralschweiz;11060;Zug;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;1711960;Zug: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
8;Maschwanden;1;ZH;101;Affoltern;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;235;Periurbane Agrargemeinde geringer Dichte;11;Zentralschweiz;11060;Zug;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
9;Mettmenstetten;1;ZH;101;Affoltern;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;11;Zentralschweiz;11060;Zug;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
10;Obfelden;1;ZH;101;Affoltern;4;Zürich;261;Zürich;1;>= 500'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;227;Periurbane Dienstleistungsgemeinde mittlerer Dichte;12;Region Zürich;12031;Dietikon–Schlieren;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;261960;Zürich: funktionales städtisches Gebiet;4;Knonaueramt;10;Zürich;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
