"","sex","age_group","Stadt_Land_2012_Code","Anzahl","sum","percentage_of_total_population"
"1",1,"18 bis 24 Jahre",1,209781,7114731,0.0294854436520509
"2",1,"25 bis 34 Jahre",1,408509,7114731,0.0574173500024105
"3",1,"35 bis 44 Jahre",1,403863,7114731,0.0567643386657907
"4",1,"45 bis 54 Jahre",1,388745,7114731,0.05463945158292
"5",1,"55 bis 64 Jahre",1,351800,7114731,0.0494467043096921
"6",1,"65 bis 74 Jahre",1,233082,7114731,0.0327604796302207
"7",1,"75+ Jahre",1,206920,7114731,0.029083320226724
"8",0,"18 bis 24 Jahre",1,199462,7114731,0.0280350725839108
"9",0,"25 bis 34 Jahre",1,399541,7114731,0.0561568666475233
"10",0,"35 bis 44 Jahre",1,394433,7114731,0.055438919616216
"11",0,"45 bis 54 Jahre",1,385670,7114731,0.0542072497189282
"12",0,"55 bis 64 Jahre",1,353191,7114731,0.0496422141610133
"13",0,"65 bis 74 Jahre",1,268040,7114731,0.0376739471949115
"14",0,"75+ Jahre",1,304682,7114731,0.0428241067722729
"15",1,"18 bis 24 Jahre",2,72344,7114731,0.0101681989101204
"16",1,"25 bis 34 Jahre",2,109102,7114731,0.0153346626878796
"17",1,"35 bis 44 Jahre",2,122675,7114731,0.0172423946878666
"18",1,"45 bis 54 Jahre",2,138666,7114731,0.0194899849340755
"19",1,"55 bis 64 Jahre",2,132989,7114731,0.0186920629887483
"20",1,"65 bis 74 Jahre",2,92420,7114731,0.0129899500065428
"21",1,"75+ Jahre",2,70378,7114731,0.0098918708240691
"22",0,"18 bis 24 Jahre",2,66426,7114731,0.00933640358293237
"23",0,"25 bis 34 Jahre",2,105182,7114731,0.0147836931571974
"24",0,"35 bis 44 Jahre",2,122903,7114731,0.0172744408748553
"25",0,"45 bis 54 Jahre",2,137962,7114731,0.0193910353040754
"26",0,"55 bis 64 Jahre",2,130380,7114731,0.0183253590332509
"27",0,"65 bis 74 Jahre",2,96473,7114731,0.0135596131463017
"28",0,"75+ Jahre",2,91376,7114731,0.0128432122029631
"29",1,"18 bis 24 Jahre",3,53128,7114731,0.00746732378216408
"30",1,"25 bis 34 Jahre",3,80972,7114731,0.0113808940914281
"31",1,"35 bis 44 Jahre",3,89864,7114731,0.0126306953839857
"32",1,"45 bis 54 Jahre",3,104052,7114731,0.0146248677567711
"33",1,"55 bis 64 Jahre",3,106405,7114731,0.0149555900286321
"34",1,"65 bis 74 Jahre",3,75010,7114731,0.010542914412365
"35",1,"75+ Jahre",3,52653,7114731,0.00740056089260437
"36",0,"18 bis 24 Jahre",3,47772,7114731,0.00671451949483403
"37",0,"25 bis 34 Jahre",3,77106,7114731,0.0108375144471379
"38",0,"35 bis 44 Jahre",3,88651,7114731,0.012460204047068
"39",0,"45 bis 54 Jahre",3,101373,7114731,0.0142483250596544
"40",0,"55 bis 64 Jahre",3,102114,7114731,0.0143524751673675
"41",0,"65 bis 74 Jahre",3,72104,7114731,0.0101344660817113
"42",0,"75+ Jahre",3,66532,7114731,0.00935130224881306
