"","plz","place","canton","abbreviation","country","Regions-ID","Kategorien"
"1",1000,"Lausanne","Waadt","VD","Schweiz","5586","Städtisch (1)"
"2",1003,"Lausanne","Waadt","VD","Schweiz","5586","Städtisch (1)"
"3",1004,"Lausanne","Waadt","VD","Schweiz","5586","Städtisch (1)"
"4",1005,"Lausanne","Waadt","VD","Schweiz","5586","Städtisch (1)"
"5",1006,"Lausanne","Waadt","VD","Schweiz","5586","Städtisch (1)"
"6",1007,"Lausanne","Waadt","VD","Schweiz","5586","Städtisch (1)"
"7",1008,"Jouxtens-Mézery","Waadt","VD","Schweiz","5585","Städtisch (1)"
"8",1008,"Prilly","Waadt","VD","Schweiz","5589","Städtisch (1)"
"9",1009,"Pully","Waadt","VD","Schweiz","5590","Städtisch (1)"
"10",1010,"Lausanne","Waadt","VD","Schweiz","5586","Städtisch (1)"
"11",1011,"Lausanne","Waadt","VD","Schweiz","5586","Städtisch (1)"
"12",1012,"Lausanne","Waadt","VD","Schweiz","5586","Städtisch (1)"
"13",1015,"Lausanne","Waadt","VD","Schweiz","5586","Städtisch (1)"
"14",1018,"Lausanne","Waadt","VD","Schweiz","5586","Städtisch (1)"
"15",1020,"Renens VD","Waadt","VD","Schweiz","5591","Städtisch (1)"
"16",1022,"Chavannes-près-Renens","Waadt","VD","Schweiz","5627","Städtisch (1)"
"17",1023,"Crissier","Waadt","VD","Schweiz","5583","Städtisch (1)"
"18",1024,"Ecublens VD","Waadt","VD","Schweiz","5635","Städtisch (1)"
"19",1025,"St-Sulpice VD","Waadt","VD","Schweiz","5648","Städtisch (1)"
"20",1026,"Denges","Waadt","VD","Schweiz","5632","Städtisch (1)"
"21",1026,"Echandens","Waadt","VD","Schweiz","5633","Städtisch (1)"
"22",1027,"Lonay","Waadt","VD","Schweiz","5638","Städtisch (1)"
"23",1028,"Préverenges","Waadt","VD","Schweiz","5643","Städtisch (1)"
"24",1029,"Villars-Ste-Croix","Waadt","VD","Schweiz","5651","Städtisch (1)"
"25",1030,"Bussigny-près-Lausanne","Waadt","VD","Schweiz","5624","Städtisch (1)"
"26",1031,"Mex VD","Waadt","VD","Schweiz","5489","Ländlich (3)"
"27",1032,"Romanel-sur-Lausanne","Waadt","VD","Schweiz","5592","Städtisch (1)"
"28",1033,"Cheseaux-sur-Lausanne","Waadt","VD","Schweiz","5582","Intermediär (2)"
"29",1034,"Boussens","Waadt","VD","Schweiz","5473","Ländlich (3)"
"30",1035,"Bournens","Waadt","VD","Schweiz","5472","Ländlich (3)"
"31",1036,"Sullens","Waadt","VD","Schweiz","5501","Ländlich (3)"
"32",1037,"Etagnières","Waadt","VD","Schweiz","5521","Intermediär (2)"
"33",1038,"Bercher","Waadt","VD","Schweiz","5512","Ländlich (3)"
"34",1040,"St-Barthélemy VD","Waadt","VD","Schweiz","5535","Ländlich (3)"
"35",1040,"Villars-le-Terroir","Waadt","VD","Schweiz","5537","Intermediär (2)"
"36",1040,"Echallens","Waadt","VD","Schweiz","5518","Intermediär (2)"
"37",1041,"Montilliez","Waadt","VD","Schweiz","5540","Ländlich (3)"
"38",1041,"Poliez-Pittet","Waadt","VD","Schweiz","5533","Ländlich (3)"
"39",1041,"Bottens","Waadt","VD","Schweiz","5514","Ländlich (3)"
"40",1041,"Montilliez","Waadt","VD","Schweiz","5540","Ländlich (3)"
"41",1041,"Jorat-Menthue","Waadt","VD","Schweiz","5804","Ländlich (3)"
"42",1041,"Montilliez","Waadt","VD","Schweiz","5540","Ländlich (3)"
"43",1042,"Bettens","Waadt","VD","Schweiz","5471","Ländlich (3)"
"44",1042,"Bioley-Orjulaz","Waadt","VD","Schweiz","5513","Ländlich (3)"
"45",1042,"Assens","Waadt","VD","Schweiz","5511","Ländlich (3)"
"46",1043,"Montilliez","Waadt","VD","Schweiz","5540","Ländlich (3)"
"47",1044,"Fey","Waadt","VD","Schweiz","5522","Ländlich (3)"
"48",1045,"Ogens","Waadt","VD","Schweiz","5680","Ländlich (3)"
"49",1046,"Rueyres","Waadt","VD","Schweiz","5534","Ländlich (3)"
"50",1047,"Oppens","Waadt","VD","Schweiz","5923","Ländlich (3)"
"51",1052,"Le Mont-sur-Lausanne","Waadt","VD","Schweiz","5587","Städtisch (1)"
"52",1053,"Bretigny-sur-Morrens","Waadt","VD","Schweiz","5515","Intermediär (2)"
"53",1053,"Cugy VD","Waadt","VD","Schweiz","5516","Intermediär (2)"
"54",1054,"Morrens VD","Waadt","VD","Schweiz","5527","Intermediär (2)"
"55",1055,"Froideville","Waadt","VD","Schweiz","5523","Intermediär (2)"
"56",1058,"Jorat-Menthue","Waadt","VD","Schweiz","5804","Ländlich (3)"
"57",1059,"Jorat-Menthue","Waadt","VD","Schweiz","5804","Ländlich (3)"
"58",1061,"Jorat-Menthue","Waadt","VD","Schweiz","5804","Ländlich (3)"
"59",1062,"Jorat-Menthue","Waadt","VD","Schweiz","5804","Ländlich (3)"
"60",1063,"Montanaire","Waadt","VD","Schweiz","5693","Ländlich (3)"
"61",1063,"Boulens","Waadt","VD","Schweiz","5661","Ländlich (3)"
